Código,Título,Gênero,Classificação,Plataforma,Quantidade de Temporadas,Duração Média do Episódio
1,Mandarorian,Western Espacial,14,Disney Plus,3,42,8 8 8 
2,The Witcher,Drama,18,Netflix,2,55,8 8 
3,Peaky Blinders,Drama,16,Netflix,6,56,6 6 6 6 6 6 
4,Sandman,Fantasia,18,Netflix,1,48,11 
5,House of The Dragon,Drama,16,HBO Max,1,60,10 
6,Succession,Humor Acido,16,HBO Max,4,60,10 10 9 7 
7,The Last Of Us,Drama,16,HBO Max,1,57,9 
8,Aneis de Poder,Fantasia,14,Prime Video,1,68,8 
9,Mr.Robot,Suspense,16,Prime Video,4,49,10 12 10 13 
10,Perifericos,Ficcao Cientifica,14,Prime Video,1,56,8 
11,Obi-Wan Kenobi,Ficcao Cientifica,14,Disney Plus,1,52,6 
12,Grey's Anatomy,Drama medico,14,Star Plus,19,43,9 27 25 17 24 24 22 24 24 24 25 24 24 24 25 21 17 20 20 
13,Flash,Ficcao Cientifica,13,Netflix,9,42,23 23 23 23 22 19 18 18 18 
14,The Good Place,Comedia,16,Netflix,4,90,13 13 13 14 
15,Round 6,Acao,16,Netflix,1,60,9 
16,The Boys,Humor Acido,18,Prime Video,3,55,8 8 8 
17,She Hulk,Comedia,14,Disney Plus,1,35,9 
18,Velma,Comedia,16,HBO Max,1,26,10 
19,Dark,Drama,16,Netflix,3,52,10 8 8 
20,Breaking Bad,Drama,16,Netflix,5,55,7 13 13 13 16 
21,Desventuras em Serie,Humor Acido,12,Netflix,3,50,8 10 7 
22,Insatiable,Comedia,16,Netflix,2,45,12 10 
23,Dexter,Drama,0,Paramount,8,43,12 12 12 12 12 12 12 12 
24,Ben 10,Acao,0,HBO Max,4,22,13 13 13 13 
25,Wandinha,Fantasia,16,Netflix,1,50,8 
26,Game of Thrones,Fantasia,18,HBO Max,8,60,10 10 10 10 10 10 10 10 
27,Cidade invisivel,Drama,14,Netflix,1,40,7 
28,Brookly nine-nine,Comedia,14,Netiflix,8,20,22 23 23 22 22 18 13 10 
29,Kick Buttowiski,Comedia,0,Disney Plus,2,23,20 26 
30,Gambito da Rainha,Ficcao,16,Netflix,1,55,7 
31,Primal,Terror,14,Netflix,2,20,10 10 
32,Peppa Pig,Crianca,0,Netflix,6,20,13 13 6 7 7 7 
33,Um maluco no pedaco,comedia,0,HBO Max,6,22,25 24 24 26 25 24 
34,The Walking Dead,Terror,18,Netflix,10,45,6 13 16 16 16 16 16 16 16 22 
35,Mundo Misterio,Documentario,0,Netflix,1,26,8 
36,Cobra Kai,Acao,14,Netflix,5,30,10 10 10 10 10 
37,Missa da meia-noite,Terror,14,Netflix,1,64,7 
38,Andor,Acao,14,Disney Plus,1,50,12 
39,Drive to Survive: Dirigir para viver (F1),Documentario,12,Netflix,5,50,10 10 10 10 10 
40,Alice In Borderland,Ficcao Cientifica,16,Netflix,2,50,8 8 
41,Legend of Vox Machina,Fantasia,16,Netflix,2,30,12 12 
42,Arremesso Final,Documentario,12,Netflix,1,51,10 
43,Love  Death & Robots,Ficcao Cientifica,18,Netflix,3,21,18 8 9 
44,True Detective,Drama,16,HBO max,3,55,8 8 8 
45,You,Drama,18,Netflix,4,50,10 10 10 10 
46,Heartstopper,Drama,12,Netflix,1,30,8 
47,Fundacao,Ficcao Cientifica,16,Apple Tv,1,60,10 
48,La casa de papel,Drama,16,Netflix,5,47,13 9 8 8 10 
49,The office,Comedia,12,Prime video,9,30,6 22 25 19 28 26 27 24 27 
50,Twin Peaks,Misterio,14,Prime video,3,45,8 22 18 
51,Black Mirror,Ficcao Cientifica,18,Netflix,5,59,3 6 6 4 3 
52,House MD,Drama,14,HBO max,8,49,22 24 24 16 24 21 23 22 
53,My Mad Fat Diary,Comedia,16,Prime Video,3,45,6 7 3 
54,How I Met Your Mother,Comedia,12,Star Plus,9,23,22 22 20 24 24 24 24 24 24 
55,Always Sunny In Philadelpiha,Comedia,16,Hulu,15,25,7 10 15 13 12 14 13 10 10 10 10 10 10 10 8 
56,Vikings,Drama,16,Netflix,6,45,9 10 10 20 20 20 
57,Lucifer,Misterio,14,Netflix,6,43,13 18 26 10 16 10 
58,Stranger Things,terror,16,Netflix,4,50,8 9 8 9 
59,Ted lasso,Comedia,14,Apple tv,3,55,10 12 8 
60,Orange is the new black,drama,16,Netflix,7,57,13 13 13 13 13 13 13 
61,Planeta Sheen,Comedia,0,Pluto TV,1,24,26 
62,teen wolf,Fantasia,16,Netflix,6,40,12 12 24 12 20 20 
63,the 100,Ficcao Cientifica,16,Netflix,7,41,13 16 16 13 13 13 16 
64,Comunnity,Sitcom,12,Netflix,6,21,25 23 22 13 13 13 
65,The Midnight Gospel,Fantasia Cientifica,18,Netflix,1,30,8 
66,Dahmer: Um Canibal Americano,Documentario,18,Netflix,1,55,10 
67,Wanda vision,Sitcom,14,Disney+,1,39,9 
68,Arrow,Drama,16,Netflix,8,42,23 23 23 23 23 23 22 10 
69,Clark,Acao,16,Netflix,1,61,6 
70,30 Moedas,Terror,18,HBO Max,1,50,8 
71,American Horror Story,Terror,18,Star Plus,11,60,12 13 13 13 12 10 11 10 9 10 10 
72,All os Us Are Dead,Terror,18,Netflix,1,53,12 
73,Skam Noruega,Drama,16,NRK TV,4,37,11 12 10 10 
74,Jimmy Neutron,Comedia,0,Paramount+,3,24,20 20 19 
75,Loki,Fantasia,12,Disney Plus,1,50,6 
76,Todo mundo odeia o chris,Comedia,10,Prime Video,4,20,22 22 22 22 
77,The Sopranos,Crime Drama,16,HBO max,6,50,13 13 13 13 13 21 
78,Friends,Comedia,12,HBO Max,10,25,24 24 25 24 24 25 24 24 24 18 
79,Nathan for You,Comedia,16,Prime Video,4,30,8 8 8 7 
80,Rick and Morty,Comedia,16,HBO Max,6,30,11 10 10 10 10 10 
81,Bridgerton,Drama,16,Netflix,2,60,8 8 
82,KND - A Turma do Bairro,Comedia,0,HBO Max,6,23,13 13 13 13 13 13 
83,As Aventuras de Jackie Chan,Acao,0,Pluto TV,5,30,13 39 17 13 13 
84,Night Stalker,Terror,18,Netflix,1,47,4 
85,Dois homens e meio,Comedia,12,Prime Video,12,22,24 24 24 24 19 24 22 16 24 23 22 16 
86,The Crown,Drama,14,Netflix,5,60,10 10 10 10 10 
87,Arcane,Acao,14,Netflix,1,40,9 
88,Resident Evil: No Escuro Absoluto,Fantasia,16,Netflix,1,27,4 
89,1899,Terror,16,Netflix,1,50,8 
90,RWBY,Acao,12,Crunchyroll,9,26,16 12 12 12 14 13 13 14 10 
91,Suits,Drama,14,Netflix,9,40,12 16 16 16 16 16 16 16 10 
92,Under the Dome,Misterio,14,Paramount Plus,3,43,13 13 13 
